Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2015-05-08 07:51:51,Running,,3.04,25:46,8:29,7.07,434.0,149.27,,,2015-05-08-0751.gpx
2015-05-06 07:54:20,Running,,2.79,24:38,8:49,6.81,410.0,152.44,,,2015-05-06-0754.gpx
2015-05-04 07:58:59,Running,,2.93,26:27,9:01,6.65,404.0,97.18,,,2015-05-04-0758.gpx
2015-05-02 08:17:26,Running,,2.86,25:49,9:02,6.65,422.0,161.11,,,2015-05-02-0817.gpx
2015-04-18 08:17:16,Running,,2.93,26:47,9:09,6.56,403.0,89.36,,,2015-04-18-0817.gpx
2015-03-29 19:33:15,Running,,2.97,27:10,9:10,6.55,425.0,132.43,,,2015-03-29-1933.gpx
2015-02-13 18:42:52,Running,,2.94,26:13,8:55,6.73,411.0,104.27,,,2015-02-13-1842.gpx
2015-02-10 18:12:21,Running,,2.93,25:28,8:42,6.90,403.0,92.18,,,2015-02-10-1812.gpx
2015-02-04 09:34:45,Running,,2.78,24:13,8:44,6.88,368.361615616755,81.64,,,2015-02-04-0934.gpx
2014-12-31 08:57:04,Running,,2.95,25:27,8:37,6.96,391.077196435182,150.17,,,2014-12-31-0857.gpx
2014-12-29 09:38:53,Running,,2.71,25:19,9:20,6.43,359.98487839356,169.05,,,2014-12-29-0938.gpx
2014-12-13 07:18:56,Running,,2.80,21:44,7:47,7.72,367.918067933101,92.56,,,2014-12-13-0718.gpx
2014-12-09 07:16:44,Running,,2.92,24:07,8:15,7.27,388.016274776818,97.29,,,2014-12-09-0716.gpx
2014-12-04 08:00:54,Running,,2.94,25:15,8:35,6.99,390.279679473125,135.10,,,2014-12-04-0800.gpx
2014-11-18 07:25:19,Running,,2.90,25:34,8:50,6.79,384.279475564706,160.31,,,2014-11-18-0725.gpx
2014-11-12 06:27:12,Running,,2.95,144:57:24,2951:38,0.02,390.455535261986,99.75,,,2014-11-12-0627.gpx
2014-11-10 06:03:50,Running,,2.97,25:05,8:27,7.10,393.493616073759,94.51,,,2014-11-10-0603.gpx
2014-10-28 08:04:21,Running,,2.81,23:46,8:28,7.08,368.153703927762,84.27,,,2014-10-28-0804.gpx
2014-10-20 08:48:34,Running,,2.78,24:35,8:51,6.77,366.267626268782,85.09,,,2014-10-20-0848.gpx
2014-10-07 08:53:14,Running,,2.09,19:50,9:29,6.33,277.582093765064,75.27,,,2014-10-07-0853.gpx
2014-09-19 08:38:26,Running,,3.06,432:10:35,8474:43,0.01,406.863255461532,90.10,,,2014-09-19-0838.gpx
2014-09-11 06:36:32,Running,,1.22,10:52,8:53,6.75,162.393012353827,31.64,,,2014-09-11-0636.gpx
2014-09-03 19:13:50,Running,,2.68,22:49,8:31,7.05,370.0,84.89,,,2014-09-03-1913.gpx
2014-09-01 07:41:49,Running,,2.92,27:21,9:22,6.41,405.0,97.42,,,2014-09-01-0741.gpx
2014-08-23 08:37:30,Running,,2.94,25:04,8:31,7.04,407.0,101.93,,,2014-08-23-0837.gpx
2014-08-20 19:00:06,Running,,2.95,24:48,8:25,7.12,406.0,104.87,,,2014-08-20-1900.gpx
2014-08-11 19:19:08,Running,,2.88,24:32,8:31,7.04,402.0,101.45,,,2014-08-11-1919.gpx
2014-08-09 08:10:34,Running,,2.10,17:48,8:29,7.07,271.0,13.93,,,2014-08-09-0810.gpx
2014-07-23 08:05:42,Running,,2.66,25:21,9:31,6.30,350.0,38.60,,,2014-07-23-0805.gpx
2014-07-09 18:24:00,Running,,2.98,26:51,9:00,6.66,414.0,99.00,,,2014-07-09-1824.gpx
2014-07-01 08:29:16,Running,,2.89,23:03,7:58,7.53,404.0,99.27,,,2014-07-01-0829.gpx
2014-06-29 17:45:01,Running,,2.93,25:40,8:46,6.85,439.0,184.75,,,2014-06-29-1745.gpx
2014-06-26 20:20:27,Running,,2.90,28:20,9:47,6.13,401.0,93.94,,,2014-06-26-2020.gpx
2014-06-25 06:38:53,Running,,2.71,26:36,9:48,6.12,384.0,99.64,,,2014-06-25-0638.gpx
2014-06-23 19:33:56,Running,,2.68,26:40,9:58,6.02,373.0,91.21,,,2014-06-23-1933.gpx
2014-06-16 19:14:17,Running,,2.94,26:55,9:10,6.54,408.0,94.64,,,2014-06-16-1914.gpx
2014-05-27 19:36:13,Running,,2.92,24:11,8:16,7.25,402.0,87.24,,,2014-05-27-1936.gpx
2014-05-26 08:33:40,Running,,2.91,24:53,8:32,7.02,402.0,93.27,,,2014-05-26-0833.gpx
2014-05-17 07:39:06,Running,,3.12,26:33,8:31,7.05,428.0,88.82,,,2014-05-17-0739.gpx
2014-05-16 07:45:09,Running,,3.03,26:33,8:46,6.85,422.0,104.91,,,2014-05-16-0745.gpx
2014-05-09 08:09:27,Running,,2.84,23:41,8:21,7.19,391.0,88.41,,,2014-05-09-0809.gpx
2014-04-30 19:35:25,Running,,2.96,26:52,9:05,6.61,408.0,91.09,,,2014-04-30-1935.gpx
2014-04-29 08:07:49,Running,,2.89,25:22,8:47,6.83,400.0,93.09,,,2014-04-29-0807.gpx
2014-04-27 09:23:32,Running,,2.95,25:31,8:40,6.93,413.0,104.64,,,2014-04-27-0923.gpx
2014-04-22 07:15:06,Running,,3.05,27:45,9:07,6.59,422.0,105.79,,,2014-04-22-0715.gpx
2014-04-21 08:12:47,Running,,2.87,26:29,9:13,6.51,393.0,88.65,,,2014-04-21-0812.gpx
2014-04-12 08:38:33,Running,,2.97,31:31,10:38,5.65,407.0,91.82,,,2014-04-12-0838.gpx
2014-04-08 07:54:54,Running,,3.02,26:27,8:45,6.85,417.0,97.27,,,2014-04-08-0754.gpx
2014-04-05 09:56:03,Running,,3.00,27:12,9:05,6.61,416.0,99.64,,,2014-04-05-0956.gpx
2014-04-02 08:12:04,Running,,3.06,26:35,8:42,6.89,415.0,98.36,,,2014-04-02-0812.gpx
2014-03-31 08:03:28,Running,,3.05,27:27,9:00,6.67,420.0,97.55,,,2014-03-31-0803.gpx
2014-03-29 09:11:09,Running,,2.94,26:08,8:54,6.74,384.0,93.79,,,2014-03-29-0911.gpx
2014-03-21 13:00:10,Running,,2.97,28:08,9:29,6.33,386.0,91.55,,,2014-03-21-1300.gpx
2014-03-18 19:17:31,Running,,3.00,28:07,9:23,6.39,391.0,95.73,,,2014-03-18-1917.gpx
2014-03-18 18:52:48,Walking,,0.81,12:31,15:32,3.86,89.0,31.18,,,2014-03-18-1852.gpx
2014-03-18 18:52:09,Walking,,0.00,0:00,,,0.0,,,,
